sensor_index,monitor,network,lat,lng,date,prov_terr,pm25_recent_r,pm25_recent,pm25_1hr_r,pm25_1hr,pm25_3hr_r,pm25_3hr,pm25_24hr_r,pm25_24hr,temperature,rh,pressure,val_24hr_r,val_1hr_r,val_r,val_24hr,val_1hr,val,icon_url_24hr_r,icon_url_1hr_r,icon_url_r,icon_url_24hr,icon_url_1hr,icon_url
224353,Naz Peckham,PA,43.10313,-77.51927,2025-10-17 21:00:00,Canada_Buffer,1.1,1,1.3,1.1,1.2,1.1,1.8,1.5,18.1,39,999.3,2,1,1,2,1,1,icons/icon_21_2.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_2.png,icons/icon_21_1.png,icons/icon_21_1.png
224435,Commonwealth sideline,PA,53.559254,-113.47673,2025-10-17 21:00:00,Alberta,0.1,0.1,0.2,0.2,0.3,0.3,2.1,1.9,13.9,29,928,2,0,0,2,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png
224453,CACWNYML,PA,42.908157,-78.85659,2025-10-17 21:00:00,Canada_Buffer,1.2,1,1.6,1.4,1.8,1.5,4.5,3.6,19.6,40,992.9,4,2,1,4,1,1,icons/icon_21_4.png,icons/icon_21_2.png,icons/icon_21_1.png,icons/icon_21_4.png,icons/icon_21_1.png,icons/icon_21_1.png
224545,AQSU-9157,PA,44.71981,-63.48081,2025-10-17 21:00:00,Nova Scotia,0,0,0.1,0.1,0.1,0.1,1.4,0.9,14.4,65,999.6,1,0,0,1,0,0,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png
224547,AQSU-1B74,PA,45.68174,-62.69657,2025-10-17 21:00:00,Nova Scotia,1.3,0.8,1.4,0.9,1.4,0.9,1,0.7,14.4,74.2,1006.6,1,1,1,1,1,1,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png
224611,BMO Field - Concourse,PA,43.633568,-79.41773,2025-10-17 21:00:00,Ontario,3.9,3.3,4.3,3.6,10.5,8.9,6.1,5.1,16.9,43,1004.3,6,4,4,5,4,3,icons/icon_21_6.png,icons/icon_21_4.png,icons/icon_21_4.png,icons/icon_21_5.png,icons/icon_21_4.png,icons/icon_21_3.png
224691,South Main Concourse,PA,45.397774,-75.68312,2025-10-17 21:00:00,Ontario,1,0.9,1,0.9,0.9,0.8,1.3,1.1,15.6,35,1007.8,1,1,1,1,1,1,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png
224695,CACWNY26,PA,42.93814,-78.892876,2025-10-17 21:00:00,Canada_Buffer,1.7,1.4,2.2,1.8,2.6,2.1,2.9,2.3,17.8,45.3,994.9,3,2,2,2,2,1,icons/icon_21_3.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_1.png
224705,St. Henry's Sr School,PA,50.93659,-102.79673,2025-10-17 21:00:00,Saskatchewan,18,13.3,18.8,13.7,17.9,12.9,12.5,8.9,12.2,59.3,932.4,12,19,18,9,14,13,icons/icon_21_12.png,icons/icon_21_19.png,icons/icon_21_18.png,icons/icon_21_9.png,icons/icon_21_14.png,icons/icon_21_13.png
224707,CACWNY 10 Massachusetts Ave Project,PA,42.91268,-78.887726,2025-10-17 21:00:00,Canada_Buffer,1.5,1.3,2.1,1.7,2.5,2.1,6.3,4.8,17.4,44,992.9,6,2,2,5,2,1,icons/icon_21_6.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_5.png,icons/icon_21_2.png,icons/icon_21_1.png
